Img Name,X_0,Y_0,X_1,Y_1,Confidence,Bbox
img_11-269.jpg,42.40069,124.52004,54.374496,151.83281,0.7714687,"[42.40068817138672, 124.5200424194336, 54.37449645996094, 151.8328094482422, 0.7714686989784241]"
img_22-271.jpg,210.69458,111.95437,235.02806,162.90147,0.9530159,"[210.694580078125, 111.9543685913086, 235.02806091308594, 162.90147399902344, 0.953015923500061]"
img_22-271.jpg,115.480385,79.78354,134.62363,125.790985,0.8661678,"[115.48038482666016, 79.78353881835938, 134.62362670898438, 125.79098510742188, 0.8661677837371826]"
img_22-271.jpg,85.04095,12.081023,100.65199,49.93255,0.64762133,"[85.04094696044922, 12.081023216247559, 100.65199279785156, 49.93254852294922, 0.6476213335990906]"
img_28-287.jpg,235.08597,76.66897,255.0,205.86423,0.2651936,"[235.08596801757812, 76.6689682006836, 255.0, 205.86422729492188, 0.2651936113834381]"
img_285-138.jpg,182.50772,97.29645,188.27533,137.883,0.72026134,"[182.50772094726562, 97.29644775390625, 188.27532958984375, 137.88299560546875, 0.7202613353729248]"
img_285-138.jpg,226.32219,66.19209,232.65587,103.16162,0.26430222,"[226.3221893310547, 66.19209289550781, 232.65586853027344, 103.16162109375, 0.26430222392082214]"
img_285-145.jpg,97.83421,76.1454,106.28335,146.05084,0.4984867,"[97.83421325683594, 76.14540100097656, 106.2833480834961, 146.05084228515625, 0.4984866976737976]"
img_285-145.jpg,96.52018,68.613144,112.267,145.47896,0.33486354,"[96.52017974853516, 68.61314392089844, 112.26699829101562, 145.4789581298828, 0.334863543510437]"
img_285-145.jpg,190.0966,125.70211,198.85788,175.62047,0.070276834,"[190.0966033935547, 125.70211029052734, 198.85787963867188, 175.62046813964844, 0.07027683407068253]"
img_285-146.jpg,143.61545,159.65811,170.6521,234.48854,0.7521548,"[143.61544799804688, 159.65811157226562, 170.652099609375, 234.48854064941406, 0.7521548271179199]"
img_285-146.jpg,140.5476,0.6944544,149.96114,57.640812,0.50286335,"[140.547607421875, 0.6944543719291687, 149.9611358642578, 57.640811920166016, 0.502863347530365]"
img_285-153.jpg,200.21106,177.72256,206.52335,229.91367,0.6289373,"[200.2110595703125, 177.72256469726562, 206.52334594726562, 229.91366577148438, 0.628937304019928]"
img_285-153.jpg,51.000282,68.200455,68.19755,144.39067,0.3944344,"[51.000282287597656, 68.20045471191406, 68.19754791259766, 144.3906707763672, 0.39443439245224]"
img_285-153.jpg,199.06876,122.31074,222.45058,229.52872,0.22695705,"[199.06875610351562, 122.31073760986328, 222.45057678222656, 229.52871704101562, 0.2269570529460907]"
img_285-153.jpg,45.84286,58.478855,77.22843,143.26456,0.18635026,"[45.84286117553711, 58.47885513305664, 77.22843170166016, 143.26455688476562, 0.1863502562046051]"
img_285-153.jpg,53.466183,80.326744,62.22847,143.46222,0.056193262,"[53.466182708740234, 80.32674407958984, 62.22846984863281, 143.46221923828125, 0.056193262338638306]"
img_32-273.jpg,91.68147,171.88252,123.46966,248.24747,0.90191066,"[91.68147277832031, 171.8825225830078, 123.46965789794922, 248.24746704101562, 0.901910662651062]"
img_320-29.jpg,59.846935,157.81438,66.46836,197.10725,0.35977563,"[59.8469352722168, 157.8143768310547, 66.4683609008789, 197.1072540283203, 0.3597756326198578]"
img_33-287.jpg,56.346745,119.47343,87.851006,191.79694,0.41978455,"[56.346744537353516, 119.47342681884766, 87.85100555419922, 191.79693603515625, 0.4197845458984375]"
img_33-307.jpg,162.58052,24.95902,186.50914,82.8243,0.45176128,"[162.5805206298828, 24.959020614624023, 186.50914001464844, 82.82430267333984, 0.45176127552986145]"
img_33-307.jpg,142.6362,22.389545,190.29185,127.00553,0.3376336,"[142.63619995117188, 22.389545440673828, 190.29185485839844, 127.00553131103516, 0.3376336097717285]"
img_33-307.jpg,1.8772142,101.40674,21.979576,146.90762,0.20347296,"[1.8772141933441162, 101.40673828125, 21.979576110839844, 146.90762329101562, 0.20347295701503754]"
img_33-307.jpg,142.6069,92.476776,154.92358,123.217865,0.0759611,"[142.60690307617188, 92.47677612304688, 154.923583984375, 123.21786499023438, 0.07596109807491302]"
img_35-245.jpg,209.27655,1.185264,229.37437,47.859085,0.7706593,"[209.27655029296875, 1.185263991355896, 229.37437438964844, 47.85908508300781, 0.770659327507019]"
img_35-245.jpg,173.11787,167.81183,196.84413,225.10458,0.5458404,"[173.1178741455078, 167.81182861328125, 196.84413146972656, 225.10458374023438, 0.5458403825759888]"
img_355-85.jpg,184.52165,154.43022,211.6158,236.67859,0.11651326,"[184.5216522216797, 154.4302215576172, 211.6157989501953, 236.6785888671875, 0.11651325970888138]"
img_413-118.jpg,202.85146,162.2413,211.37837,205.24294,0.08130878,"[202.85145568847656, 162.24130249023438, 211.3783721923828, 205.24293518066406, 0.08130878210067749]"
img_413-119.jpg,186.3386,121.335434,197.87802,196.49974,0.92995673,"[186.33859252929688, 121.33543395996094, 197.87802124023438, 196.49974060058594, 0.9299567341804504]"
img_437-119.jpg,156.08275,73.67163,170.85373,132.5022,0.70565856,"[156.08274841308594, 73.671630859375, 170.85372924804688, 132.502197265625, 0.7056585550308228]"
img_5-261.jpg,166.65536,159.59584,199.82669,235.27664,0.8593435,"[166.65536499023438, 159.59584045410156, 199.82669067382812, 235.27664184570312, 0.8593435287475586]"
img_500-335.jpg,210.92995,48.224983,219.29543,86.79644,0.77147645,"[210.92994689941406, 48.22498321533203, 219.29542541503906, 86.79644012451172, 0.7714764475822449]"
img_500-335.jpg,214.57056,48.246628,218.80858,87.91459,0.083219044,"[214.570556640625, 48.24662780761719, 218.80857849121094, 87.91458892822266, 0.08321904391050339]"
